filename,filepath,haplotype_count,load_time,matrix_rows,matrix_cols,matrix_size,matrix_density,ones_count,zeros_count,row_min_sum,row_max_sum,row_mean_sum,row_std_sum,col_min_sum,col_max_sum,col_mean_sum,col_std_sum,ilp_calls_total,preprocessing_time,clustering_time,total_time,ilp_time_total,ilp_time_ratio,avg_ilp_time,patterns_found,regions_found,clustering_steps,regions_processed,matrix_operations,avg_region_size,largest_region,smallest_region,ilp_calls_per_pattern,time_per_ilp_call,patterns_per_second,matrix_complexity,comparison_enabled,noseed_success,seed_success,results_identical,results_equivalent,noseed_steps,seed_steps,step_differences_count,reads_exchanged,reads_unique_noseed,reads_unique_seed,read_assignment_changes,cluster_stability_score,perfect_cluster_matches,partial_cluster_matches,completely_different_clusters,solver_success_count,solver_failed_count,solver_error_count
matrix_ctg0_55000.csv,2/matrix_ctg0_55000.csv,2,0.026812314987182617,42,29,1218,0.9129720853858785,1112,106,2,29,26.476190476190474,6.804193718156106,16,40,38.3448275862069,4.2367510492159095,0,0.0015430450439453125,9.775161743164062e-06,0.0015528202056884766,0.0,0.0,0.0,0,0,1,0,0,0.0,0,0,0.0,0.0,0.0,1112.0,True,True,True,True,True,1,1,0,0,0,0,0,1.0,1,0,0,0,0,0
matrix_ctg0_35000.csv,2/matrix_ctg0_35000.csv,2,0.030405282974243164,55,26,1430,0.9104895104895104,1302,128,0,26,23.672727272727272,7.360964722975691,50,52,50.07692307692308,0.38461538461538464,0,0.001592397689819336,1.0251998901367188e-05,0.0016026496887207031,0.0,0.0,0.0,0,0,1,0,0,0.0,0,0,0.0,0.0,0.0,1302.0,True,True,True,True,True,1,1,0,0,0,0,0,1.0,1,0,0,0,0,0
matrix_ctg0_30000.csv,2/matrix_ctg0_30000.csv,2,0.03801751136779785,66,28,1848,0.8333333333333334,1540,308,0,28,23.333333333333332,10.43498389499902,55,55,55.0,0.0,0,0.0016415119171142578,9.775161743164062e-06,0.0016512870788574219,0.0,0.0,0.0,0,0,1,0,0,0.0,0,0,0.0,0.0,0.0,1540.0,True,True,True,True,True,1,1,0,0,0,0,0,1.0,2,0,0,0,0,0
matrix_ctg0_80000.csv,2/matrix_ctg0_80000.csv,2,0.040470123291015625,61,33,2013,0.6537506209637357,1316,697,4,33,21.57377049180328,12.763240012608755,38,41,39.878787878787875,0.6399609721800872,0,0.002210855484008789,1.0013580322265625e-05,0.0022208690643310547,0.0,0.0,0.0,0,0,2,0,0,0.0,0,0,0.0,0.0,0.0,1316.0,True,True,True,True,True,2,2,0,0,0,0,0,1.0,3,0,0,0,0,0
matrix_ctg0_10000.csv,2/matrix_ctg0_10000.csv,2,0.0463261604309082,82,25,2050,0.7341463414634146,1505,545,3,24,18.353658536585368,8.708521130114265,43,63,60.2,5.314132102234569,0,0.06864786148071289,3.266334533691406e-05,0.0686805248260498,0.0,0.0,0.0,0,0,1,0,0,0.0,0,0,0.0,0.0,0.0,1505.0,True,True,True,True,True,1,1,0,0,0,0,0,1.0,2,0,0,0,0,0
matrix_ctg0_15000.csv,2/matrix_ctg0_15000.csv,2,0.043494462966918945,66,32,2112,0.6226325757575758,1315,797,0,32,19.924242424242426,15.46678808017321,41,43,41.09375,0.38400642898264087,0,0.0017092227935791016,1.2874603271484375e-05,0.001722097396850586,0.0,0.0,0.0,0,0,1,0,0,0.0,0,0,0.0,0.0,0.0,1315.0,True,True,True,True,True,1,1,0,0,0,0,0,1.0,2,0,0,0,0,0
matrix_ctg0_75000.csv,2/matrix_ctg0_75000.csv,2,0.055094003677368164,61,46,2806,0.6464718460441911,1814,992,17,40,29.737704918032787,9.403350709649427,25,58,39.43478260869565,5.16952682181229,0,0.003975629806518555,1.1444091796875e-05,0.00398707389831543,0.0,0.0,0.0,0,0,5,0,0,0.0,0,0,0.0,0.0,0.0,1814.0,True,True,True,True,True,5,5,0,0,0,0,0,1.0,3,0,0,0,0,0
matrix_ctg0_65000.csv,2/matrix_ctg0_65000.csv,2,0.06726574897766113,80,44,3520,0.7332386363636364,2581,939,1,44,32.2625,18.62776405664405,43,60,58.65909090909091,2.392632458745937,0,0.0019495487213134766,1.0251998901367188e-05,0.0019598007202148438,0.0,0.0,0.0,0,0,1,0,0,0.0,0,0,0.0,0.0,0.0,2581.0,True,True,True,True,True,1,1,0,0,0,0,0,1.0,2,0,0,0,0,0
matrix_edge_21_365000.csv,2/matrix_edge_21_365000.csv,2,0.15304827690124512,79,104,8216,0.9696932814021422,7967,249,95,104,100.84810126582279,2.239397565886786,73,79,76.60576923076923,0.924228048268987,0,0.002436399459838867,9.775161743164062e-06,0.0024461746215820312,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,7967.0,True,True,True,True,True,0,0,0,0,0,0,0,1.0,1,0,0,0,0,0
matrix_edge_43_290000.csv,2/matrix_edge_43_290000.csv,2,0.18363165855407715,82,111,9102,0.9022192924631949,8212,890,88,109,100.14634146341463,5.772351998165029,38,82,73.98198198198199,12.403851466656741,0,0.006201744079589844,1.0967254638671875e-05,0.006212711334228516,0.0,0.0,0.0,0,0,1,0,0,0.0,0,0,0.0,0.0,0.0,8212.0,True,True,True,True,True,1,1,0,0,0,0,0,1.0,2,0,0,0,0,0
