filename,filepath,haplotype_count,load_time,matrix_rows,matrix_cols,matrix_size,matrix_density,ones_count,zeros_count,row_min_sum,row_max_sum,row_mean_sum,row_std_sum,col_min_sum,col_max_sum,col_mean_sum,col_std_sum,ilp_calls_total,preprocessing_time,clustering_time,total_time,ilp_time_total,ilp_time_ratio,avg_ilp_time,patterns_found,regions_found,clustering_steps,regions_processed,matrix_operations,avg_region_size,largest_region,smallest_region,ilp_calls_per_pattern,time_per_ilp_call,patterns_per_second,matrix_complexity,solver_success_count,solver_failed_count,solver_error_count
matrix_ctg0_55000.csv,2/matrix_ctg0_55000.csv,2,0.027307748794555664,42,29,1218,0.9129720853858785,1112,106,2,29,26.476190476190474,6.804193718156106,16,40,38.3448275862069,4.2367510492159095,0,0.0018563270568847656,8.821487426757812e-06,0.0018651485443115234,0.0,0.0,0.0,0,0,1,0,0,0.0,0,0,0.0,0.0,0.0,1112.0,0,0,0
matrix_ctg0_35000.csv,2/matrix_ctg0_35000.csv,2,0.03082418441772461,55,26,1430,0.9104895104895104,1302,128,0,26,23.672727272727272,7.360964722975691,50,52,50.07692307692308,0.38461538461538464,0,0.0018706321716308594,8.344650268554688e-06,0.001878976821899414,0.0,0.0,0.0,0,0,1,0,0,0.0,0,0,0.0,0.0,0.0,1302.0,0,0,0
matrix_ctg0_30000.csv,2/matrix_ctg0_30000.csv,2,0.03914308547973633,66,28,1848,0.8333333333333334,1540,308,0,28,23.333333333333332,10.43498389499902,55,55,55.0,0.0,0,0.0019140243530273438,8.344650268554688e-06,0.0019223690032958984,0.0,0.0,0.0,0,0,1,0,0,0.0,0,0,0.0,0.0,0.0,1540.0,0,0,0
matrix_ctg0_80000.csv,2/matrix_ctg0_80000.csv,2,0.04446578025817871,61,33,2013,0.6537506209637357,1316,697,4,33,21.57377049180328,12.763240012608755,38,41,39.878787878787875,0.6399609721800872,0,0.0025167465209960938,8.821487426757812e-06,0.0025255680084228516,0.0,0.0,0.0,0,0,2,0,0,0.0,0,0,0.0,0.0,0.0,1316.0,0,0,0
matrix_ctg0_10000.csv,2/matrix_ctg0_10000.csv,2,0.04542398452758789,82,25,2050,0.7341463414634146,1505,545,3,24,18.353658536585368,8.708521130114265,43,63,60.2,5.314132102234569,0,0.022020578384399414,2.5033950805664062e-05,0.022045612335205078,0.0,0.0,0.0,0,0,1,0,0,0.0,0,0,0.0,0.0,0.0,1505.0,0,0,0
matrix_ctg0_15000.csv,2/matrix_ctg0_15000.csv,2,0.04424619674682617,66,32,2112,0.6226325757575758,1315,797,0,32,19.924242424242426,15.46678808017321,41,43,41.09375,0.38400642898264087,0,0.0019762516021728516,1.0967254638671875e-05,0.0019872188568115234,0.0,0.0,0.0,0,0,1,0,0,0.0,0,0,0.0,0.0,0.0,1315.0,0,0,0
matrix_ctg0_75000.csv,2/matrix_ctg0_75000.csv,2,0.05657148361206055,61,46,2806,0.6464718460441911,1814,992,17,40,29.737704918032787,9.403350709649427,25,58,39.43478260869565,5.16952682181229,0,0.004270076751708984,8.821487426757812e-06,0.004278898239135742,0.0,0.0,0.0,0,0,5,0,0,0.0,0,0,0.0,0.0,0.0,1814.0,0,0,0
matrix_ctg0_65000.csv,2/matrix_ctg0_65000.csv,2,0.06908082962036133,80,44,3520,0.7332386363636364,2581,939,1,44,32.2625,18.62776405664405,43,60,58.65909090909091,2.392632458745937,0,0.0022411346435546875,8.344650268554688e-06,0.002249479293823242,0.0,0.0,0.0,0,0,1,0,0,0.0,0,0,0.0,0.0,0.0,2581.0,0,0,0
matrix_edge_21_365000.csv,2/matrix_edge_21_365000.csv,2,0.15545320510864258,79,104,8216,0.9696932814021422,7967,249,95,104,100.84810126582279,2.239397565886786,73,79,76.60576923076923,0.924228048268987,0,0.002638101577758789,8.106231689453125e-06,0.002646207809448242,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,7967.0,0,0,0
matrix_edge_43_290000.csv,2/matrix_edge_43_290000.csv,2,0.18618988990783691,82,111,9102,0.9022192924631949,8212,890,88,109,100.14634146341463,5.772351998165029,38,82,73.98198198198199,12.403851466656741,0,0.006438493728637695,8.58306884765625e-06,0.0064470767974853516,0.0,0.0,0.0,0,0,1,0,0,0.0,0,0,0.0,0.0,0.0,8212.0,0,0,0
matrix_edge_7_0.csv,2/matrix_edge_7_0.csv,2,0.20791983604431152,58,161,9338,0.9630541871921182,8993,345,144,161,155.05172413793105,3.461225683806958,53,57,55.857142857142854,0.7948369328221808,0,0.00821995735168457,9.775161743164062e-06,0.008229732513427734,0.0,0.0,0.0,0,0,7,0,0,0.0,0,0,0.0,0.0,0.0,8993.0,0,0,0
matrix_edge_43_285000.csv,2/matrix_edge_43_285000.csv,2,0.1965775489807129,89,109,9701,0.9188743428512525,8914,787,93,105,100.15730337078652,2.8359603981502066,38,88,81.77981651376147,12.398844129440022,0,0.006066560745239258,9.298324584960938e-06,0.006075859069824219,0.0,0.0,0.0,0,0,5,0,0,0.0,0,0,0.0,0.0,0.0,8914.0,0,0,0
matrix_edge_8_65000.csv,2/matrix_edge_8_65000.csv,2,0.18215203285217285,81,120,9720,0.9444444444444444,9180,540,106,119,113.33333333333333,3.492496365667047,34,81,76.5,8.0,0,0.008555412292480469,9.5367431640625e-06,0.008564949035644531,0.0,0.0,0.0,0,0,3,0,0,0.0,0,0,0.0,0.0,0.0,9180.0,0,0,0
matrix_edge_7_155000.csv,2/matrix_edge_7_155000.csv,2,0.20364093780517578,49,208,10192,0.9698783359497645,9885,307,187,208,201.73469387755102,4.255970644962068,45,49,47.52403846153846,0.8200604096307704,0,0.016861677169799805,1.1920928955078125e-05,0.016873598098754883,0.0,0.0,0.0,0,0,23,0,0,0.0,0,0,0.0,0.0,0.0,9885.0,0,0,0
